GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ChannelApp,com.increff.assure.dao,AbstractDao,98,0,0,0,23,0,7,0,7,0
ChannelApp,com.increff.assure.model.form,ChannelOrderItemForm,17,0,0,0,4,0,5,0,5,0
ChannelApp,com.increff.assure.model.form,ChannelAppOrderForm,38,0,0,0,7,0,11,0,11,0
ChannelApp,com.increff.assure.dto,OrderDto,54,0,0,0,15,0,9,0,9,0
ChannelApp,com.increff.assure.spring,ControllerConfig.ZonedDateTimeDeserializer,11,0,0,0,3,0,2,0,2,0
ChannelApp,com.increff.assure.spring,RestConfig,22,0,0,0,6,0,3,0,3,0
ChannelApp,com.increff.assure.spring,WebInitializer,20,0,0,0,4,0,4,0,4,0
ChannelApp,com.increff.assure.spring,DbConfig,114,0,0,0,29,0,4,0,4,0
ChannelApp,com.increff.assure.spring,ControllerConfig,200,0,0,0,46,0,13,0,13,0
ChannelApp,com.increff.assure.spring,RestTemplateResponseErrorHandler,55,0,4,0,13,0,5,0,3,0
ChannelApp,com.increff.assure.spring,SpringConfig,3,0,0,0,1,0,1,0,1,0
ChannelApp,com.increff.assure.service,ClientWrapper,221,0,0,0,34,0,11,0,11,0
ChannelApp,com.increff.assure.service,AbstractService,37,0,4,0,13,0,6,0,4,0
ChannelApp,com.increff.assure.service,ApiException,4,0,0,0,2,0,1,0,1,0
ChannelApp,com.increff.assure.controller,AbstractUiController,16,0,0,0,4,0,2,0,2,0
ChannelApp,com.increff.assure.controller,AppRestControllerAdvice,65,0,0,0,19,0,6,0,6,0
ChannelApp,com.increff.assure.controller,AppUiController,7,0,0,0,2,0,2,0,2,0
ChannelApp,com.increff.assure.controller,ChannelOrderController,26,0,0,0,7,0,6,0,6,0
ChannelApp,com.increff.assure.util,XmlGenerateUtil,44,0,0,0,13,0,2,0,2,0
ChannelApp,com.increff.assure.util,ConvertUtil,44,0,2,0,11,0,4,0,3,0
ChannelApp,com.increff.assure.util,DatabaseNamingUtil,48,0,0,0,10,0,5,0,5,0
ChannelApp,com.increff.assure.util,StringUtil,29,0,8,0,4,0,8,0,4,0
ChannelApp,com.increff.assure.util,NullAwarePropertyCopy,12,0,2,0,4,0,3,0,2,0
ChannelApp,com.increff.assure.util,PdfGenerateUtil,118,0,0,0,25,0,4,0,4,0
ChannelApp,com.increff.assure.model.data,ChannelOrderItemInvoiceData,38,0,0,0,7,0,11,0,11,0
ChannelApp,com.increff.assure.model.data,MessageData,10,0,0,0,3,0,3,0,3,0
ChannelApp,com.increff.assure.model.data,ChannelOrderInvoiceData,52,0,0,0,22,0,15,0,15,0
ChannelApp,com.increff.assure.model.data,ChannelOrderData,17,0,0,0,4,0,5,0,5,0
